Cd;Contrt;Mod;DtContr;DtVencOp;VlrContr;ID_VENC;TIPO;VALOR;VlrProxParcela;DtaProxParcela;QtdParcelas
74364596;1840633;1350;15/01/2022;15/02/2022;2,78;0;v110;2,78;2,78;15/02/2022;1
74708430;1460849;1350;20/01/2022;20/02/2022;10,08;0;v110;10,08;10,08;20/02/2022;1
75529122;2184033;1350;05/01/2022;05/02/2022;2,8;0;v110;2,8;2,8;05/02/2022;1
75622335;2035174;1350;15/01/2022;15/02/2022;2,82;0;v110;2,82;2,82;15/02/2022;1
75726386;1217836;1350;20/01/2022;20/02/2022;5,54;0;v110;5,54;5,54;20/02/2022;1
75749408;1729461;1350;15/01/2022;15/02/2022;2,24;0;v110;2,24;2,24;15/02/2022;1
75791447;1293144;1350;15/01/2022;15/02/2022;13,48;0;v110;13,48;13,48;15/02/2022;1
75791447;1312505;1350;15/01/2022;15/02/2022;143,13;0;v110;143,13;143,13;15/02/2022;1
75851440;923971;1350;25/01/2022;25/02/2022;7,99;0;v110;7,99;7,99;25/02/2022;1
76095312;1579937;1350;20/01/2022;20/02/2022;48,33;0;v110;48,33;48,33;20/02/2022;1
76118460;1657007;1350;13/01/2022;13/02/2022;634,54;0;v110;634,54;634,54;13/02/2022;1
76135470;776707;1350;10/01/2022;10/02/2022;9,38;0;v110;9,38;9,38;10/02/2022;1
76527476;1112656;1350;10/01/2022;10/02/2022;1,73;0;v110;1,73;1,73;10/02/2022;1
76650162;1936148;1350;13/01/2022;13/02/2022;5,88;0;v110;5,88;5,88;13/02/2022;1
76667480;1270478;1350;15/01/2022;15/02/2022;237,89;0;v110;237,89;237,89;15/02/2022;1
76719545;1849947;1350;01/01/2022;01/02/2022;9,93;0;v110;9,93;9,93;01/02/2022;1
76841260;2032819;1350;15/01/2022;15/02/2022;39,14;0;v110;39,14;39,14;15/02/2022;1
77039378;396155;1350;10/01/2022;10/02/2022;3,26;0;v110;3,26;3,26;10/02/2022;1
77057350;467330;1350;13/01/2022;13/02/2022;8,73;0;v110;8,73;8,73;13/02/2022;1
77407601;2273303;1350;05/01/2022;05/02/2022;70,73;0;v110;70,73;70,73;05/02/2022;1
77899555;2310808;1350;13/01/2022;13/02/2022;107,91;0;v110;107,91;107,91;13/02/2022;1
78058457;2196169;1350;15/01/2022;15/02/2022;6,97;0;v110;6,97;6,97;15/02/2022;1
78329400;1290548;1350;13/01/2022;13/02/2022;41,43;0;v110;41,43;41,43;13/02/2022;1
78329400;1338832;1350;15/01/2022;15/02/2022;17,98;0;v110;17,98;17,98;15/02/2022;1
